,precision,recall,f1-score,support
-1,0.7804878048780488,0.5079365079365079,0.6153846153846154,126.0
0,0.6233766233766234,0.42857142857142855,0.5079365079365079,224.0
1,0.7970588235294118,0.9083798882681564,0.8490861618798956,895.0
2,0.8312883435582822,0.8041543026706232,0.8174962292609351,337.0
accuracy,0.786346396965866,0.786346396965866,0.786346396965866,0.786346396965866
macro avg,0.7580528988355915,0.662260531861679,0.6974758786154884,1582.0
weighted avg,0.7784384613710256,0.786346396965866,0.775439054020026,1582.0
