,precision,recall,f1-score,support
-1,0.6521739130434783,0.47619047619047616,0.5504587155963303,126.0
0,0.5664739884393064,0.4375,0.4937027707808564,224.0
1,0.8008255933952528,0.8670391061452514,0.832618025751073,895.0
2,0.7586206896551724,0.7833827893175074,0.7708029197080292,337.0
accuracy,0.7572692793931732,0.7572692793931732,0.7572692793931732,0.7572692793931732
macro avg,0.6945235461333026,0.6410280929133088,0.6618956079590722,1582.0
weighted avg,0.746812999340346,0.7572692793931732,0.7489892135327848,1582.0
