,precision,recall,f1-score,support
-1,0.6631578947368421,0.5,0.5701357466063349,126.0
0,0.5862068965517241,0.45535714285714285,0.5125628140703518,224.0
1,0.8020618556701031,0.8692737430167597,0.8343163538873996,895.0
2,0.760932944606414,0.7744807121661721,0.7676470588235295,337.0
accuracy,0.7610619469026548,0.7610619469026548,0.7610619469026548,0.7610619469026548
macro avg,0.7030898978912707,0.6497778995100187,0.6711654933469039,1582.0
weighted avg,0.7516738323144956,0.7610619469026548,0.7535154045366049,1582.0
